time_s,channel0_voltage,capacitor_voltage,shunt_voltage,capacitor_current,psu_mode,cycles
0.000000,-0.002077,-0.006648,-0.002077,-0.000009235,charge,0
0.010000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.020000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.030000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.040000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.050000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.060000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.070000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.080000,-0.000790,-0.002527,-0.002077,-0.000009364,charge,0
0.090000,-0.002077,-0.006648,-0.002077,-0.000009235,charge,0
0.100000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.110000,-0.002077,-0.006648,-0.002077,-0.000009235,charge,0
0.120000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.130000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.140000,-0.000790,-0.002527,-0.002077,-0.000009364,charge,0
0.150000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.160000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.170000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.180000,-0.002077,-0.006648,-0.002077,-0.000009235,charge,0
0.190000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.200000,-0.002077,-0.006648,-0.002077,-0.000009235,charge,0
0.210000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.220000,-0.000790,-0.002527,-0.002077,-0.000009364,charge,0
0.230000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.240000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.250000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.260000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.270000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.280000,-0.000790,-0.002527,-0.002077,-0.000009364,charge,0
0.290000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.300000,-0.003365,-0.010768,-0.002077,-0.000009106,charge,0
0.310000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.320000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.330000,-0.000790,-0.002527,-0.002077,-0.000009364,charge,0
0.340000,-0.000790,-0.002527,-0.002077,-0.000009364,charge,0
0.350000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.360000,-0.002077,-0.006648,-0.002077,-0.000009235,charge,0
0.370000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.380000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.390000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.400000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.410000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.420000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.430000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.440000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.450000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.460000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.470000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.480000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.490000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.500000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.510000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.520000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.530000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.540000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.550000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.560000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.570000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.580000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.590000,-0.000790,-0.002527,-0.002077,-0.000009364,charge,0
0.600000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.610000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.620000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.630000,-0.000790,-0.002527,-0.002077,-0.000009364,charge,0
0.640000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.650000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.660000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.670000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.680000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.690000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.700000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.710000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.720000,-0.002077,-0.006648,-0.000790,-0.000003382,charge,0
0.730000,-0.000790,-0.002527,-0.002077,-0.000009364,charge,0
0.740000,-0.000790,-0.002527,-0.000790,-0.000003511,charge,0
0.750000,-0.000790,-0.002527,0.806540,0.003666169,charge,0
0.760000,0.032688,0.104601,7.326982,0.033301193,charge,0
0.770000,0.224541,0.718532,10.167443,0.046193195,charge,0
0.780000,0.545156,1.744498,9.071689,0.041180435,charge,0
0.790000,0.930150,2.976480,7.816272,0.035435496,charge,0
0.800000,1.333171,4.266147,6.540254,0.029595109,charge,0
0.810000,1.729754,5.535213,5.301576,0.023925097,charge,0
0.820000,2.108310,6.746593,4.128566,0.018555377,charge,0
0.830000,2.462402,7.879688,3.035387,0.013550976,charge,0
0.840000,2.794605,8.942736,2.018178,0.008894076,charge,0
0.850000,3.098480,9.915137,1.083375,0.004614585,charge,0
0.860000,3.380466,10.817492,0.279908,0.000934265,charge,0
0.870000,3.637988,11.641560,0.156298,0.000346648,charge,0
0.880000,3.876195,12.403824,0.121533,0.000164802,charge,0
0.890000,4.093800,13.100161,0.102219,0.000055250,charge,0
0.900000,4.295955,13.747055,0.088055,-0.000029345,charge,0
0.910000,4.480083,14.336264,0.079042,-0.000088727,charge,0
0.920000,4.652622,14.888390,0.070029,-0.000146951,charge,0
0.930000,4.812285,15.399313,0.063591,-0.000192181,charge,0
0.940000,4.959072,15.869032,0.058440,-0.000230271,charge,0
0.950000,5.095559,16.305788,0.054577,-0.000261477,charge,0
0.960000,5.221744,16.709581,0.050714,-0.000291654,charge,0
0.970000,5.338916,17.084533,0.045564,-0.000326783,charge,0
0.980000,5.449651,17.438882,0.042989,-0.000349561,charge,0
0.990000,5.551372,17.764389,0.040414,-0.000371439,charge,0
1.000000,5.647942,18.073415,0.037838,-0.000392802,discharge,0
1.010000,5.736787,18.357718,0.035263,-0.000413392,discharge,0
1.020000,5.820481,18.625541,0.033976,-0.000427614,discharge,0
1.030000,5.899025,18.876882,0.031400,-0.000447174,discharge,0
1.040000,5.971131,19.107621,0.030113,-0.000460237,discharge,0
1.050000,6.040662,19.330119,0.028825,-0.000473043,discharge,0
1.060000,6.106330,19.540257,0.027538,-0.000485463,discharge,0
1.070000,6.166848,19.733913,0.026250,-0.000497367,discharge,0
1.080000,6.223502,19.915208,0.024962,-0.000508885,discharge,0
1.090000,6.278870,20.092383,0.023675,-0.000520275,discharge,0
1.100000,6.330374,20.257196,0.022387,-0.000531278,discharge,0
1.110000,6.379303,20.413769,0.022387,-0.000536171,discharge,0
1.120000,6.425657,20.562102,0.021099,-0.000546659,discharge,0
1.130000,6.470723,20.706314,0.019812,-0.000557018,discharge,0
1.140000,6.511926,20.838165,0.018524,-0.000566991,discharge,0
1.150000,6.551842,20.965895,0.018524,-0.000570983,discharge,0
1.160000,6.590470,21.089505,0.018524,-0.000574846,discharge,0
1.170000,6.625236,21.200755,0.017237,-0.000584175,discharge,0
1.180000,6.661289,21.316124,0.017237,-0.000587780,discharge,0
1.190000,6.693479,21.419133,0.015949,-0.000596852,discharge,0
1.200000,6.724382,21.518021,0.015949,-0.000599942,discharge,0
1.210000,6.755284,21.616909,0.014661,-0.000608886,discharge,0
1.220000,6.782324,21.703436,0.014661,-0.000611589,discharge,0
1.230000,6.810651,21.794084,0.013374,-0.000620275,discharge,0
1.240000,6.837691,21.880611,0.013374,-0.000622979,discharge,0
1.250000,6.860868,21.954777,0.012086,-0.000631149,discharge,0
1.260000,6.885332,22.033064,0.013374,-0.000627743,discharge,0
1.270000,6.909797,22.111350,0.013374,-0.000630190,discharge,0
1.280000,6.930399,22.177276,0.012086,-0.000638102,discharge,0
1.290000,6.952288,22.247322,0.012086,-0.000640291,discharge,0
1.300000,6.972890,22.313247,0.012086,-0.000642352,discharge,0
1.310000,6.990916,22.370932,0.010799,-0.000650007,discharge,0
1.320000,7.010230,22.432737,0.010799,-0.000651938,discharge,0
1.330000,7.026969,22.486302,0.010799,-0.000653612,discharge,0
